XCoord,YCoord,RED,GREEN,BLUE,NIR,LCCODE
389996.0956,4799649.196,232,222,207,93,3
389629.1793,4799659.665,170,157,150,32,3
389575.7987,4799640.166,185,174,162,36,3
389577.3258,4799627.14,198,189,177,47,3
389620.9778,4799636.829,212,200,184,66,3
389504.9603,4799563.745,204,192,176,49,3
389468.3923,4799561.742,166,156,147,25,3
388574.2819,4799649.328,219,209,190,71,3
388548.6344,4799650.184,239,228,209,106,3
388571.9498,4799586.957,243,234,210,112,3
388410.1029,4799651.462,51,70,111,8,4
388344.117,4799659.052,50,70,108,8,4
388570.1827,4799679.161,61,74,110,74,4
388208.3575,4799681.88,56,73,109,15,4
389528.5554,4799635.95,59,69,102,52,4
388382.2357,4799529.516,48,98,124,5,1
388267.34,4799525.345,45,96,124,6,1
388958.0662,4799526.975,74,91,110,6,1
389215.9118,4799548.752,184,187,193,23,1
388580.3231,4799501.14,239,238,207,97,2
388513.8423,4799452.394,96,101,114,48,2
388580.969,4799549.952,136,137,142,41,2
389458.6096,4799522.029,221,209,190,67,3
389453.8861,4799499.136,226,216,196,71,3
389411.5346,4799515.864,198,187,173,44,3
389373.1844,4799511.29,188,176,161,34,3
389342.3564,4799487.957,202,190,175,49,3
389297.5781,4799462.685,230,217,198,75,3
389286.6766,4799487.568,163,157,150,25,3
389271.0554,4799436.681,219,208,188,63,3
389196.1997,4799434.006,193,181,168,39,3
389158.1471,4799447.632,174,162,150,22,3
388601.6361,4799487.977,185,180,171,48,3
388605.9912,4799461.901,241,230,208,100,3
388724.7014,4799433.51,145,146,142,18,3
388625.4459,4799495.79,78,94,111,79,4
388523.0251,4799509.612,53,73,106,16,4
388630.4861,4799537.747,74,84,114,103,4
388653.8313,4799502.69,69,92,120,101,4
388487.0475,4799490.702,51,73,109,14,4
388655.1787,4799531.706,46,69,106,62,4
388537.6863,4799421.229,230,221,193,76,2
388525.8171,4799413.623,163,162,152,44,2
388516.435,4799372.17,84,99,119,27,2
388541.9835,4799365.248,218,208,183,70,2
388336.4875,4799363.017,225,218,208,68,2
388119.0521,4799365.742,159,162,169,42,2
388177.0989,4799351.347,104,106,123,63,2
389204.6217,4799390.527,239,228,208,91,3
389136.2668,4799386.446,233,224,203,83,3
389122.2579,4799407.479,193,181,168,42,3
389102.1827,4799429.912,148,146,139,18,3
389067.6956,4799422.243,175,165,153,31,3
389010.6608,4799418.844,165,157,146,20,3
389009.3717,4799393.294,176,168,157,29,3
389049.6356,4799355.36,242,234,214,97,3
389051.0453,4799388.276,190,179,166,42,3
388967.1803,4799340.243,244,235,215,104,3
388960.4717,4799355.523,234,222,202,83,3
388942.5985,4799406.092,163,160,151,23,3
388966.2078,4799413.506,135,134,130,10,3
388884.1736,4799397.516,183,180,174,29,3
388862.4323,4799371.435,194,181,166,40,3
388859.8737,4799348.073,228,216,194,80,3
388843.4642,4799328.839,245,236,215,109,3
388799.0243,4799350.806,226,213,190,78,3
388797.641,4799372.5,173,167,157,30,3
388808.832,4799418.257,135,136,137,16,3
388711.5851,4799402.953,180,174,165,35,3
388742.6871,4799363.435,179,174,166,37,3
388250.468,4799308.454,91,90,114,120,4
388181.9772,4799322.588,68,88,119,80,4
388362.7583,4799312.668,80,86,116,95,4
388444.7664,4799326.919,67,89,111,86,4
388511.9808,4799420.078,49,74,108,48,4
388283.6104,4799392.64,68,78,113,71,4
388088.4006,4799300.803,192,188,192,93,2
388329.4601,4799253.478,228,216,191,97,2
388345.3122,4799212.475,123,130,134,23,2
388067.8911,4799217.925,160,155,155,57,2
388039.3722,4799176.788,170,174,175,57,2
388216.0379,4799286.124,133,133,139,30,2
388272.5719,4799232.746,223,209,190,73,2
388314.2789,4799177.012,214,212,198,59,2
388162.9793,4799286.567,216,208,187,83,2
388173.8022,4799249.042,136,147,140,140,4
388246.4705,4799224.436,65,90,121,96,4
388132.816,4799295.662,80,84,116,69,4
388406.881,4799072.286,62,107,122,6,1
388308.6453,4799076.507,58,103,122,7,1
388202.5001,4799128.539,53,105,126,7,1
388117.2207,4799074.469,52,103,126,7,1
388524.6357,4799056.984,255,250,226,113,2
388480.629,4799052.508,188,171,156,48,2
388528.8384,4798923.774,65,99,117,8,1
388419.0101,4798963.727,62,103,120,7,1
388209.2357,4799009.666,49,99,124,7,1
388136.6284,4798932.847,48,101,124,7,1
388511.3244,4798988.287,103,109,130,29,2
388640.8934,4799037.733,146,143,141,34,2
388691.2516,4798960.11,164,165,164,25,3
388752.8033,4798946.961,226,219,196,72,3
388615.2113,4798979.752,112,106,117,93,4
388557.0676,4798988.511,78,85,106,94,4
388506.1468,4799039.629,70,78,104,86,4
388131.0004,4798802.906,43,98,122,6,1
388189.3314,4798805.409,45,99,121,7,1
388194.5287,4798909.351,46,98,122,7,1
388490.2556,4798905.338,53,86,112,7,1
388357.5615,4798869.892,205,203,191,65,2
388339.4957,4798855.886,141,146,152,111,2
388284.0178,4798868.071,248,246,230,109,2
388348.3695,4798813.695,103,109,125,33,2
388739.8148,4798897.763,157,160,158,24,3
388689.2556,4798891.659,135,139,143,16,3
388699.3934,4798820.407,154,151,150,23,3
388720.9235,4798807.049,167,165,160,28,3
388335.3958,4798814.656,86,97,121,148,4
388404.3872,4798883.303,68,79,108,106,4
388448.3442,4798858.305,74,83,111,92,4
387639.1256,4798678.417,92,120,138,9,1
387699.816,4798718.155,60,99,127,7,1
387758.7948,4798759.655,66,111,138,7,1
387810.8877,4798700.708,53,107,134,7,1
388065.2622,4798720.769,43,98,125,5,1
388150.3561,4798710.693,41,101,124,5,1
388301.015,4798764.63,129,128,138,34,2
388320.0912,4798734.407,156,153,147,42,2
388276.0893,4798730.365,213,213,190,53,2
388263.7481,4798720.599,49,80,113,9,2
388286.0145,4798751.874,216,204,179,64,2
388277.278,4798696.969,206,194,171,60,2
388581.4202,4798788.539,163,156,148,27,3
388640.578,4798788.432,147,147,148,18,3
388727.4113,4798778.335,235,226,205,82,3
388563.9521,4798678.729,169,163,157,30,3
388629.0284,4798721.004,145,142,143,19,3
387768.7869,4798668.852,102,97,122,107,4
387739.0493,4798711.824,141,141,171,86,4
388336.8265,4798769.553,54,68,101,79,4
388267.2815,4798772.868,152,163,160,127,4
388371.468,4798786.32,85,105,118,83,4
388537.9854,4798727.891,111,130,123,82,4
388469.6017,4798722.515,135,127,128,97,4
387601.7375,4798575.006,77,118,132,7,1
387857.5618,4798629.714,51,102,129,8,1
387887.4729,4798597.142,47,96,126,8,1
387949.7298,4798626.453,55,112,136,8,1
388031.1068,4798654.582,49,106,130,7,1
388132.58,4798582.682,43,101,124,5,1
388247.7169,4798645.442,151,151,143,42,2
388248.0412,4798586.052,249,239,212,98,2
388227.8214,4798573.382,206,201,176,64,2
388210.3524,4798542.894,214,200,183,60,2
387955.6187,4798554.043,239,242,217,79,2
387737.7113,4798582.361,228,220,202,82,2
387722.0874,4798558.346,234,232,208,87,2
387708.843,4798572.871,209,207,187,64,2
387720.5888,4798599.117,188,180,173,75,2
387675.6693,4798618.502,149,152,160,41,2
387662.4068,4798605.718,155,156,161,50,2
387660.5416,4798624.388,196,199,194,82,2
387649.5863,4798593.36,161,159,160,75,2
388590.2872,4798640.151,234,225,205,84,3
387659.5896,4798589.606,72,84,118,118,4
387597.3537,4798614.046,124,126,141,80,4
387813.1924,4798644.708,89,91,114,115,4
387767.7666,4798554.867,77,89,114,38,4
388265.3092,4798574.376,83,88,114,122,4
388279.3617,4798582.38,58,73,108,30,4
388295.7531,4798600.315,71,82,108,72,4
388288.4545,4798632.512,86,89,113,119,4
387565.1461,4798467.246,71,98,122,8,1
388132.5042,4798525.466,71,120,140,7,1
388161.3897,4798483.375,53,103,122,7,1
388196.8527,4798489.367,94,97,116,23,2
388232.3195,4798450.636,168,163,150,46,2
388265.977,4798434.042,197,181,163,73,2
388177.121,4798427.273,199,185,168,71,2
387986.3018,4798462.939,200,190,173,129,2
387963.4485,4798501.463,194,179,156,96,2
387976.9689,4798529.848,210,204,176,82,2
387625.3281,4798520.94,163,166,168,39,2
387678.7989,4798518.752,230,224,194,72,2
387705.8272,4798522.205,255,249,224,129,2
387668.7204,4798488.143,204,197,176,69,2
387615.634,4798487.29,152,150,159,58,2
387597.9388,4798443.37,123,124,133,42,2
387647.0356,4798413.511,225,213,187,80,2
387796.9515,4798489.841,227,213,191,74,3
387607.0184,4798439.197,76,80,109,97,4
387618.2652,4798461.551,94,101,129,102,4
387670.9098,4798461.977,58,77,110,30,4
387629.8465,4798501.238,89,97,118,75,4
387856.5475,4798478.405,83,92,115,53,4
387981.1153,4798487.612,68,82,114,38,4
387996.6374,4798426.669,73,86,112,105,4
388101.9842,4798430.995,65,78,109,34,4
388220.02,4798413.439,54,75,108,62,4
388198.6846,4798464.942,73,83,112,92,4
387920.6457,4798513.755,98,101,132,63,4
387517.2028,4798357.072,49,98,123,8,1
387599.7493,4798395.224,213,202,186,90,2
387580.6452,4798371.266,198,194,184,61,2
387580.1917,4798343.964,217,210,194,92,2
387569.8145,4798321.595,138,150,153,38,2
387598.3325,4798362.303,221,212,194,82,2
387626.4535,4798326.723,168,170,158,47,2
387644.0906,4798314.727,45,83,123,8,2
387636.159,4798387.25,255,252,233,112,2
387615.5624,4798299.595,227,223,205,62,2
387574.7095,4798302.007,185,181,167,75,2
387575.205,4798279.458,211,202,187,79,2
